Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
05-May-15,617,620,604.85,609.95,2826920,1723799586
06-May-15,612,616.35,600,608.9,3148933,1917295432
07-May-15,602,618,600,614.25,1954517,1193853875
08-May-15,622,624.9,616,621.4,1400231,868912046.7
11-May-15,625,639.9,618,631.3,2019842,1265230650
12-May-15,633,638.8,612.05,616.2,2539734,1585517741
14-May-15,615,617.45,606.7,615.45,1443799,883006349.7
15-May-15,612.55,621.95,612.1,618.35,1245727,767044073.8
18-May-15,616.4,621,605,612.6,2241358,1366627050
19-May-15,612,623.95,609.3,619.25,1760702,1088991374
20-May-15,620.95,643,620.95,640.8,2353164,1503527162
21-May-15,643.15,659.5,641,655.6,2427489,1580546281
22-May-15,654.9,669,648,667.05,1589768,1049019339
25-May-15,664.85,668.9,630.65,648.45,1795055,1171909568
26-May-15,630,653.75,629,640.25,2608856,1670391042
27-May-15,576.25,578.6,545.1,549.1,22929044,12815013003
28-May-15,550,559.9,541,545.1,11498735,6326088368
29-May-15,549.95,556.9,546.9,554.4,4961544,2739384303
01-Jun-15,559,559,548,550.6,1842699,1019913075
02-Jun-15,551,557.9,544.25,549.4,2276829,1252987724
03-Jun-15,552.9,554.8,540.05,547.35,3675701,2010681870
04-Jun-15,551.85,559.8,548,557.25,2352012,1306645741
05-Jun-15,558,559,551,553.5,1385964,768072237.4
08-Jun-15,554.9,555.45,546.4,550.55,1412942,777498622.3
09-Jun-15,549.45,550.9,519.05,540.5,3680213,1977495675
10-Jun-15,540.5,558.8,540.5,556.3,2135795,1180906539
11-Jun-15,555.3,564.3,552.4,557.55,2140594,1194318767
12-Jun-15,552,558.5,543.4,551.45,1974142,1089587483
15-Jun-15,551,561,546,554.05,1749558,970908716.9
16-Jun-15,555,555,546.35,551.45,1591051,874880473.7
17-Jun-15,553.5,556.4,546.2,549.15,1913683,1050442905
18-Jun-15,547.2,549.65,540.1,541.2,3012586,1635938441
19-Jun-15,544.95,550.6,542.05,544.15,2307788,1260751257
22-Jun-15,545,552.5,543.05,551.45,1939726,1066621602
23-Jun-15,552,558.6,548.65,553.6,760738,421061308.2
24-Jun-15,553,553,541.15,545.3,3296386,1803768232
25-Jun-15,544,545.45,528,529.8,5294305,2822770612
26-Jun-15,528.85,535.8,520.05,521.8,3503690,1846118215
29-Jun-15,515,517.6,467.1,483.35,11484481,5581299586
30-Jun-15,475,491.7,472,477.8,12372399,5949829174
01-Jul-15,476.65,488.35,475.8,486.15,4380793,2122117090
02-Jul-15,489,489.9,477.35,479.3,2751848,1323398122
03-Jul-15,480,482,469,471.6,2800735,1326062925
06-Jul-15,465,469.65,458.5,464.55,2655385,1232828957
07-Jul-15,465,476.7,464.55,471.4,2972045,1402144838
08-Jul-15,469.8,472.75,460.3,470.3,3449261,1610784068
09-Jul-15,474,478.9,471.1,474.3,2410385,1143407185
10-Jul-15,478,478,469,474,1847909,873317802.5
13-Jul-15,474.05,477,469.6,475.8,2244361,1063114196
14-Jul-15,478.95,481,475,476.9,2094711,999852790.6
15-Jul-15,478,485,477.55,479.95,1691337,812189403.9
16-Jul-15,483.4,495.75,480.2,491.8,2547683,1248830216
17-Jul-15,493.95,505.8,493,502.15,5006283,2515335639
20-Jul-15,502.5,504.2,491.35,500.8,3004605,1504761740
21-Jul-15,502.9,520.5,499.75,509.4,3506058,1795029987
22-Jul-15,510.5,513.45,497.7,510.15,2086049,1062508445
23-Jul-15,506.9,512.3,499,500.05,2670981,1344894093
24-Jul-15,498.5,514.95,495,511.05,2285622,1164202348
27-Jul-15,511,525,508.1,519.55,4208795,2185349443
28-Jul-15,522,529.7,517.7,523.55,6316959,3303198381
29-Jul-15,523.95,529,522.6,525.55,2061983,1083162193
30-Jul-15,529,532.8,519.4,524.35,6558111,3449873992
31-Jul-15,527.9,532,525.45,530.7,1229591,649407400.9
03-Aug-15,529,533.5,521.5,523.6,811778,429059100.4
04-Aug-15,525,549,524.15,542.05,2145670,1158392571
06-Aug-15,556,557.05,531.1,533.9,1547635,831822383.2
07-Aug-15,534.8,545.4,531.45,535.15,1367440,738477531.6
10-Aug-15,536.45,542.15,526.85,530.95,600681,322210210.9
11-Aug-15,532.3,545,531,540.65,1434009,773586477.6
12-Aug-15,545,559.25,536.15,557.55,3674098,2032803155
13-Aug-15,557,567.5,543.5,551.3,2714434,1519650003
14-Aug-15,546,562.2,538,555.05,2257748,1252531491
17-Aug-15,559.9,564.7,549,551.9,2144457,1194495956
18-Aug-15,552,564,552,562.45,2130201,1192624136
19-Aug-15,565.3,565.3,557.05,560.3,1599058,896838240.9
20-Aug-15,575,575.75,555.1,558.9,2873282,1630925635
21-Aug-15,554.6,569.15,545.05,563.05,1329500,744737932.8
24-Aug-15,549,557.85,519.55,523.65,3422600,1830039860
25-Aug-15,530,543.5,492.7,528,3057676,1594134593
26-Aug-15,530,532.95,505,507.3,2169411,1126928210
27-Aug-15,513.5,528,513.5,519.55,2967588,1543393445
28-Aug-15,526,529.45,512,516.3,1642669,853555510.6
31-Aug-15,516.4,525,512,515,2104443,1089304640
01-Sep-15,510,523.5,506.1,512.3,1340532,690664173.1
02-Sep-15,519,539.9,514.2,536,2308033,1225953980
03-Sep-15,542,552.7,528.05,540.4,2220020,1200741080
04-Sep-15,540,547.55,526.1,529.3,1438221,770921258.4
07-Sep-15,529,541.15,520,538,1222028,650176292.4
08-Sep-15,538,543.85,531,537.2,1074692,578859740.1
09-Sep-15,547.7,547.7,530.8,533.4,1271196,681318252.1
10-Sep-15,532,537.5,525.6,533.8,929833,495430504.1
11-Sep-15,533,539.55,522,525.05,873940,463863151
14-Sep-15,526,529.5,516.05,525.8,1784462,936144858.7
15-Sep-15,528.9,543.4,527.55,541.5,1366805,733871808.7
16-Sep-15,543.75,547.7,540.7,544.15,722804,393998244
18-Sep-15,545.25,564.35,545.25,561.5,1907266,1063946002
21-Sep-15,553,578.9,549,567.5,995389,559075766.8
22-Sep-15,573.8,577.5,553.35,557.8,1172885,667161948.6
23-Sep-15,551,561,540.55,556.1,943910,521860230.1
24-Sep-15,560,570,549.95,567.35,1226153,692620995.6
28-Sep-15,573.35,582,570.2,573.4,1603999,923632396.3
29-Sep-15,572.45,576.1,562.6,570.4,1765081,1005909039
30-Sep-15,575.7,575.7,553.2,557.35,2795413,1566197734
01-Oct-15,558.7,566.5,537.05,563,2014882,1126650712
05-Oct-15,564.5,575,561.1,569.9,2111594,1199739522
06-Oct-15,575,578.85,558,564.75,1834106,1038796937
07-Oct-15,566.15,569.65,560.6,566.3,1150506,651486794.8
08-Oct-15,570,572.8,560.4,563,1534024,867193842.1
09-Oct-15,561.8,568,556.2,561.2,1124964,631000645.2
12-Oct-15,562.6,570,558,562.75,758836,427850057.6
13-Oct-15,562,564.85,555.25,561,639491,357604679.3
14-Oct-15,559,564.35,545.2,548.05,950851,522958373.5
15-Oct-15,549.4,555,539.75,545.3,1833925,997922448
16-Oct-15,550,551.5,543.25,545.8,1934451,1058874312
19-Oct-15,545.8,560,534.1,541.6,1446786,779631213.9
20-Oct-15,544.9,550.3,541,548.1,1060182,579383672.8
21-Oct-15,548,549.2,535.5,539.45,1566054,847278483.1
23-Oct-15,542.5,547,539,540.1,1229160,666838986.3
26-Oct-15,540.1,545,539.6,542.65,814364,441457572.8
27-Oct-15,543.3,544.25,536.1,538.8,839550,451963888.6
28-Oct-15,536.7,554,536.5,549.55,1731286,947896459.4
29-Oct-15,550,556.55,545.15,549,3049427,1679409252
30-Oct-15,549,550.25,537.1,539.15,879393,476955960.8
02-Nov-15,541,557.5,532.45,556.05,1862983,1017096571
03-Nov-15,558.3,563,548.5,556.75,1884815,1048192830
04-Nov-15,568,568.5,540.1,542.9,3424936,1897351934
05-Nov-15,545.5,546.95,532.95,534.95,1057337,569631967
06-Nov-15,537,537.35,526.15,533.45,1218451,649053250.4
09-Nov-15,524,534.85,519.05,532.4,2136740,1123601591
10-Nov-15,532.4,532.95,523.55,524.95,860680,453862235.2
11-Nov-15,529.9,529.9,524.2,525.55,101167,53258979.7
13-Nov-15,520,525.55,518,520.05,860928,449582776.5
16-Nov-15,518,518.55,508,515.95,1347660,691756662.4
17-Nov-15,516.05,527.75,516.05,523.5,2175347,1136970949
18-Nov-15,523.5,530.4,515,516.7,892774,466201241.1
19-Nov-15,521.5,535.8,520,534.4,1214934,643911960.8
20-Nov-15,534.95,540,531,534.9,1126241,604374896.9
23-Nov-15,536,544.75,535.1,539,839938,453450797.3
24-Nov-15,535.1,543.75,532.45,537.55,985303,530462847.2
26-Nov-15,538,544,527.05,529.6,3051131,1623886201
27-Nov-15,529.9,536.85,528.5,534.3,772320,411409979.4
30-Nov-15,534.9,541.2,530,533.45,2080681,1111227983
01-Dec-15,533,543.1,533,542.15,1079295,582867032.4
02-Dec-15,543,545.6,537.15,540,715680,387074112.3
03-Dec-15,539.6,544.5,536,542.6,852540,462049900.9
04-Dec-15,539.95,544.6,534,536.35,938866,503652809.8
07-Dec-15,536,546.5,535.15,544.65,788606,426608557.2
08-Dec-15,544.95,546,528.6,530.7,1061492,571441657.7
09-Dec-15,531,537.5,525.1,527.35,1223560,651054368.3
10-Dec-15,530.4,540.5,523.8,538.75,702931,373699133.5
11-Dec-15,540,543.9,535.1,536.95,926348,498933147.9
14-Dec-15,527,545,527,543.65,773988,419564643.4
15-Dec-15,548,548,516.6,519.95,2697637,1422632581
16-Dec-15,522.55,531,520.1,523.35,1399927,735906022.4
17-Dec-15,525.5,532.15,520.6,530,2067366,1087555184
18-Dec-15,525.7,528,521.5,523.25,1534964,804051530.7
21-Dec-15,519.4,524.4,514.05,521.85,874232,454790983.7
22-Dec-15,524,526.8,518.9,519.55,666767,348236535.6
23-Dec-15,525,525.05,516.6,518.05,697224,362404412.1
24-Dec-15,520,521.75,516,516.95,453150,234902042.6
28-Dec-15,516.05,520.5,512.4,518.8,1083432,561283985.7
29-Dec-15,520.95,522,518,518.95,570433,296392173.3
30-Dec-15,519.5,528,519.25,525.15,1227498,644747100.6
31-Dec-15,523.3,526,520.35,521.65,421683,220549895.9
01-Jan-16,524.9,524.9,518.5,520.05,312042,162627672
01-Jan-16,524.9,524.9,518.5,520.05,312042,162627672
04-Jan-16,520.05,521.3,505,516.4,2684305,1380295306
05-Jan-16,516.95,523.3,516.6,521.9,1707124,888858303.6
06-Jan-16,522,527,520.8,525.1,1456740,763885090.5
07-Jan-16,521.1,522.45,504,510.8,2014798,1034672332
08-Jan-16,516,526.25,512.75,522.15,1426135,742732306.3
11-Jan-16,517,517,505.85,507.3,1791903,916818288.6
12-Jan-16,507.95,509.3,498,507.4,1836753,925451738.3
13-Jan-16,508,512.25,496.75,504.45,1431164,719981401.1
14-Jan-16,497,516,494.05,514,2022474,1032665825
15-Jan-16,519,529.95,511.85,520.55,1612782,842182361.3
18-Jan-16,516,526.95,514.2,517.4,1035936,537726229.6
19-Jan-16,518,521.6,510.1,512.5,978429,501258908.4
20-Jan-16,507.25,512.8,503.6,507,2002842,1014283557
21-Jan-16,508,516.3,506.55,507.35,1873696,957724092.5
22-Jan-16,513,516.75,503.7,514.25,894565,456229610.8
25-Jan-16,517,523.75,513.5,514.55,689789,357161157.7
27-Jan-16,514,515.6,501,503.05,2171390,1099848492
28-Jan-16,505,509.25,495.9,500.05,2091098,1049278445
29-Jan-16,500,505.65,492.95,501.4,1583928,789355355.9
01-Feb-16,504.95,518.4,496.15,497.6,2717866,1373905142
02-Feb-16,496,499.35,472.1,474.45,5733789,2762624564
03-Feb-16,471,476.8,465.5,472.2,2019903,950409466.2
04-Feb-16,478.9,478.9,465.1,469.45,1465102,687506654.1
05-Feb-16,471.9,476.3,468.1,475.1,1196754,566935456.7
08-Feb-16,471.5,482,468.2,470.65,598666,284756303.7
09-Feb-16,465,467.85,446.45,448.25,2352111,1060529058
10-Feb-16,447.9,447.9,436.75,440.4,2686031,1186652483
